Source,Target
تشکلهای_مردم_نهاد_جوان, جوانان
تشکلهای_مردم_نهاد_جوان, خانه_جوانان
باغات_شهر, برج_میلاد
باغات_شهر, زباله_تهران
باغات_شهر, فروشگاه_شهروند
شهردار_جوان, جوانان
شهردار_جوان, جوانگرایی_مدیریت
 جوانان, جوانگرایی_مدیریت
شهردار, حج
شهردار, تقبل_الله
 حج, تقبل_الله
رهبر, دانشگاه_آزاد
رهبر, حسین_فریدون
رهبر, تتلو
دولت, امید
دولت, خطبه
دولت, نقد_منصفانه
زنده_باد_مخالف_من, روحاني_تنها_نيست
زنده_باد_مخالف_من, تا_نابودى_اسرائيل
 روحاني_تنها_نيست, تا_نابودى_اسرائيل
ایران, قرآن
ایران, شهادت_مولا_علی
ایران, شب_قدر
صعود, فوتبال
صعود, علی_برکت_الله
صعود, جوانان_ایران
تروریست, تهران
تروریست, سیاسی
 تهران, سیاسی
شورای_پنجم, شورای_شهر
شورای_پنجم, شهرداری
 شورای_شهر, شهرداری
شهردار, لیست_امید
شهردار, تهران
 لیست_امید, تهران
شهردار, امید
شهردار, امید_اصلاحات
 امید, امید_اصلاحات
شهردار, شورای_شهر
شهردار, شهردار_حداکثری
 شورای_شهر, شهردار_حداکثری
املاک_نجومی, استخدام_نجومی
املاک_نجومی, قراردادهای_نجومی
املاک_نجومی, آینده_تهران
شهرداری, شهردار
شهرداری, علی_برکت_الله
 شهردار, علی_برکت_الله
فساد, رانت
فساد, امید
فساد, اصلاحات
اصلاح طلبان, انتخابات_ریاست_جمهوری
اصلاح طلبان, شورای
اصلاح طلبان, تاآخرهستیم
آقای_قالیباف, املاك_نجومی
آقای_قالیباف, دروغ
 املاك_نجومی, دروغ
آقای_روحانی, معدن
آقای_روحانی, شرکت_واحد
آقای_روحانی, شهرداری_تهران
آقای_قالیباف, بانک_شهر
آقای_قالیباف, انتخابات۹۶
 بانک_شهر, انتخابات۹۶
بدهی_های_دولت, شهرداری
بدهی_های_دولت, اصولگرا
بدهی_های_دولت, انتخابات۹۶
فرزندان_سرداران_شهید, پسر_نوح
فرزندان_سرداران_شهید, فاین_تذهبون
 پسر_نوح, فاین_تذهبون
فضای_سبزموردنیازتهران, عادلانه
فضای_سبزموردنیازتهران, نابودی_باغات
 عادلانه, نابودی_باغات
شاعرانه, یارانه
شاعرانه, کارانه
شاعرانه, وارانه
رییس_جمهور, شهردار
رییس_جمهور, رییس_جمهور
 شهردار, رییس_جمهور
شهردارابتدااملاکی, اقتصاد
شهردارابتدااملاکی, مناطق_محروم
شهردارابتدااملاکی, مدیریت_جهادی
مناظره_زنده, املاک_نجومی
مناظره_زنده, قردادهای_نجومی
مناظره_زنده, استخدام_نجومی
همشهری, رانت_کاغذرادراختیاردارد
همشهری, تبلیغات
همشهری, درآمد_پایدار_شهر
ناکارامدی_یعنی, توسعه_حداقلی
ناکارامدی_یعنی, تهران
ناکارامدی_یعنی, اقتصاد_مقاومتی
انتخابات۹۶, توهم_گرایی
انتخابات۹۶, اختلال_دوقطبی
 توهم_گرایی, اختلال_دوقطبی
شهردارتوسعه, درآمدپایدار
شهردارتوسعه, خام_فروشی_منابع
 درآمدپایدار, خام_فروشی_منابع
احمدی _نژاد, شورای_نگهبان
احمدی _نژاد, انتخابات۹۶
 شورای_نگهبان, انتخابات۹۶
احمدی _نژاد, شورای_نگهبان
احمدی _نژاد, انتخابات_ریاست_جمهوری
احمدی _نژاد, جریان_انحرافی
بدهی_شهرداری, قالیبافی
بدهی_شهرداری, تهران
 قالیبافی, تهران
املاک_نجومی, قراردادها_نجومی
املاک_نجومی, استخدام_مترو
 قراردادها_نجومی, استخدام_مترو
خبرنگاران, شبکه_مجازی
خبرنگاران, ثبت_نام_کنندگان
خبرنگاران, حافظی
املاک_نجومی, قراردادهای_نجومی
املاک_نجومی, استخدام_مترو
 قراردادهای_نجومی, استخدام_مترو
املاک_نجومی, قراردادهای_نجومی
املاک_نجومی, استخدام_مترو
املاک_نجومی, لابی_گری
املاک_نجومی, قراردادهای_نجومی
املاک_نجومی, استخدام_مترو
املاک_نجومی, شورای_اسلامی_شهر_تهران
املاک_نجومی, قراردادهای_نجومی
املاک_نجومی, استخدام_مترو
 قراردادهای_نجومی, استخدام_مترو
قراردادهای_نجومی, املاک_نجومی
قراردادهای_نجومی, قراردادهای_نجومی
 املاک_نجومی, قراردادهای_نجومی
جریان_انحرافی, اسفندیار_رحیم_مشایی
جریان_انحرافی, دوقطبی_سازی
جریان_انحرافی, اختلاس
ترامپ, احمدي_نژاد
ترامپ, اختلاس
ترامپ, جریان_انحرافی
خبرنگاران, پلاسکو
خبرنگاران, املاک_نجومی
 پلاسکو, املاک_نجومی
املاک_نجومی, پلاسکو
املاک_نجومی, املاک_نجومی
 پلاسکو, املاک_نجومی
پلاسکو, زلزله_تهران
پلاسکو, مدیریت_بحران
 زلزله_تهران, مدیریت_بحران
پلاسکو, ریتوییت
پلاسکو, آتشنشان_شهیدایثارگراست
 ریتوییت, آتشنشان_شهیدایثارگراست
رعد, افتتاح
رعد, باران
 افتتاح, باران
فاضل_نظرى, سحر_نوشت
فاضل_نظرى, التماس_دعا
 سحر_نوشت, التماس_دعا
مناجات_شعبانیه, شب_آخر
مناجات_شعبانیه, شیفت_شب
مناجات_شعبانیه, رمضان_كريم
تذکرة_الاولیاء, عطار
تذکرة_الاولیاء, شيفت_شب
 عطار, شيفت_شب
فاضل_نظرى, مهمان_داریم
فاضل_نظرى, بیا
 مهمان_داریم, بیا
ره بر, جوان
ره بر, ایستاده ایم
 جوان, ایستاده ایم
بیا, فاضل_نظرى
بیا, شيفت_شب
بیا, عراق
محمود_درویش, اسماء_خواجه زاده
محمود_درویش, شيفت_شب
 اسماء_خواجه زاده, شيفت_شب
حمیدرضا_برقعی, مبعث_مبارک
حمیدرضا_برقعی, يا_نبی_الله
 مبعث_مبارک, يا_نبی_الله
امید_مهدی نژاد, امید
امید_مهدی نژاد, بسم الله
 امید, بسم الله
حافظ, تذكربه خودم
حافظ, هوایی
 تذكربه خودم, هوایی
ناصر_فیض, الله_اکبر
ناصر_فیض, ٢٢_بهمن
 الله_اکبر, ٢٢_بهمن
محمدرضا_شفیعی_کدکنی, چمران
محمدرضا_شفیعی_کدکنی, جمال
 چمران, جمال
شب_جمعه_است_هوایت_نکنم_میمیرم, مادر
شب_جمعه_است_هوایت_نکنم_میمیرم, دریاب
 مادر, دریاب
شهید, قاسم_سلیمانی
شهید, برخیزید
 قاسم_سلیمانی, برخیزید
بیدل_دهلوی, قاسم_سیلمانی
بیدل_دهلوی, شهید
 قاسم_سیلمانی, شهید
شهید, مرتضا_آوینی
شهید, قاسم_سیلمانی
شهید, دریاب
ارباب, انتقام_سخت
ارباب, قاسم_سليماني
 انتقام_سخت, قاسم_سليماني
ارباب, قاسم_سلیمانی
ارباب, انتقام_سخت
 قاسم_سلیمانی, انتقام_سخت
زینب_کبری, محمدحسین_مرادی
زینب_کبری, شهید
 محمدحسین_مرادی, شهید
محمد_رسولی, سلطان
محمد_رسولی, بطلب
 سلطان, بطلب
فاضل_نظرى, انتظار
فاضل_نظرى, بیعت
 انتظار, بیعت
حافظ, آقا_حافظ
حافظ, هوایی
 آقا_حافظ, هوایی
کربلا, سید_جواد_ذاکر
کربلا, حاج_محمود_کریمی
 سید_جواد_ذاکر, حاج_محمود_کریمی
wcit2019, همه باهم
wcit2019, آینده روشن
 همه باهم, آینده روشن
اول_مهر, دبستان
اول_مهر, دفاع_مقدس
اول_مهر, متولد_ماه_مهر
مهر, قرمز
مهر, حسین_صفا
مهر, محسن_چاوشی
حافظ, شب_سوم_امام
حافظ, آه
 شب_سوم_امام, آه
محمد_سولی, تاسوعا
محمد_سولی, آه
 تاسوعا, آه
مراسم_عزاداری_محرم, قاسمیان
مراسم_عزاداری_محرم, فاستقم_کما_امرت
مراسم_عزاداری_محرم, حکم_است_استقامت_در_راه_تا_سپیده
بفرمایید_روضه, ریتوییت
بفرمایید_روضه, ريتوييت_لطفا
 ریتوییت, ريتوييت_لطفا
محرم, محرم_على_الابواب
محرم, محرم_١٤٤١
 محرم_على_الابواب, محرم_١٤٤١
تحول_دیجیتال, رسانه
تحول_دیجیتال, خبرنگاران
تحول_دیجیتال, روز_خبرنگار
امام_رضا, بالا_سر
امام_رضا, سلطان
امام_رضا, تولدت_مبارک
itw6, موفقیت
itw6, آینده
itw6, آینده_روشن
برق_شریف, چمران
برق_شریف, شهیدان
 چمران, شهیدان
گلوبال_هاوک, globalhawk
گلوبال_هاوک, داره_میریزه
 globalhawk, داره_میریزه
ناشناس, فطر
ناشناس, عيد_فطر_مبارك
 فطر, عيد_فطر_مبارك
فلسطین, آینده_روشن
فلسطین, همه_باهم
فلسطین, روز_قدس
شب_قدر, ارباب
شب_قدر, دریاب
 ارباب, دریاب
مطالبه, ره بر
مطالبه, هیات_الزهرا
 ره بر, هیات_الزهرا
دژفا, شبکه_ملی_اطلاعات
دژفا, دژفا
دژفا, روز_جهانی_ارتباطات
شبکه_ملی_اطلاعات, روز_جهانی_ارتباطات
شبکه_ملی_اطلاعات, آینده_روشن
 روز_جهانی_ارتباطات, آینده_روشن
امیر_مومنان, ره بر
امیر_مومنان, آینده_روشن
 ره بر, آینده_روشن
حسین, شب_جمعه_است_هوایت_نکنم_میمیرم
حسین, ارباب
حسین, دریاب
شهر_رمضان, آمین
شهر_رمضان, رمضان_كريم
شهر_رمضان, سحرنوشت
جامعه_کبیره, سلطان
جامعه_کبیره, امام_رئوف
 سلطان, امام_رئوف
رضا_امیرخانی, قیدار
رضا_امیرخانی, مهمان_داریم
 قیدار, مهمان_داریم
دعوتید, نیمه_شعبان
دعوتید, پناهیان
دعوتید, قاسمیان
غم گین, عراقی
غم گین, مهمان_داریم
 عراقی, مهمان_داریم
علی_اکبر, روز_جوان
علی_اکبر, آینده_روشن
 روز_جوان, آینده_روشن
علی_صفری, امام_سجاد
علی_صفری, میلاد_مبارک
 امام_سجاد, میلاد_مبارک
علاقه, محبت
علاقه, کربلا
علاقه, هم نامی
علی_زمانیان, شب_جمعه_است_هوایت_نکنم_میمیرم
علی_زمانیان, ارباب
علی_زمانیان, دریاب
مردم, مسؤولین
مردم, وحدت
مردم, ره بر
حسین_صفا, محسن_چاوشی
حسین_صفا, دربی
 محسن_چاوشی, دربی
مولوی, دیوان_شمس
مولوی, غروب_روز_آخر
مولوی, نوروز
فاضل_نظری, اکنون
فاضل_نظری, عید_مبارک
 اکنون, عید_مبارک
شب_جمعه_است_هوایت_نکنم_میمیرم, لیلة_الرغائب
شب_جمعه_است_هوایت_نکنم_میمیرم, ارباب
شب_جمعه_است_هوایت_نکنم_میمیرم, دریاب
اللهم_عجل_لوليك_الفرج, هدیه
اللهم_عجل_لوليك_الفرج, نوروز
 هدیه, نوروز
حاج_همت, سردار_خیبر
حاج_همت, محمدابراهیم همت
حاج_همت, مرتضاآوینی
فاضل_نظری, اکنون
فاضل_نظری, جدید
 اکنون, جدید
شب_جمعه_است_هوایت_نکنم_میمیرم, هیأت_الزهرا_دانشگاه_شریف
شب_جمعه_است_هوایت_نکنم_میمیرم, ارباب
شب_جمعه_است_هوایت_نکنم_میمیرم, دریاب
فاضل_نظرى, جدید
فاضل_نظرى, اکنون
 جدید, اکنون
ارباب, دریاب
ارباب, شب_جمعه_است_هوایت_نکنم_میمیرم
ارباب, هیأت_الزهرا_دانشگاه_شریف
اپل, آیفون
اپل, تحریم
 آیفون, تحریم
گام_دوم_انقلاب, شهادت
گام_دوم_انقلاب, جوانان
گام_دوم_انقلاب, آینده_روشن
شهادت, علیرضا_قزوه
شهادت, اللهم_ارزقنا
 علیرضا_قزوه, اللهم_ارزقنا
چهل_ساله, جوانان
چهل_ساله, ایران
چهل_ساله, آینده_روشن
چهل_سالگی_انقلاب, می آیم_چون
چهل_سالگی_انقلاب, جوانان
چهل_سالگی_انقلاب, آینده_روشن
الله اکبر, انقلاب_اسلامی
الله اکبر, آینده_روشن
 انقلاب_اسلامی, آینده_روشن
زهرای_مرضیه, ملت
زهرای_مرضیه, اهل بیت
زهرای_مرضیه, انقلاب_اسلامی
احمد_عزیزی, مادر
احمد_عزیزی, فاطِمَة_صدِّيقَة_شَهيدَة
 مادر, فاطِمَة_صدِّيقَة_شَهيدَة
حمیدرضا_برقعی, مادر
حمیدرضا_برقعی, فاطمیه
حمیدرضا_برقعی, فاطمة_صديقة_شهيدة
جهادی, وزرای_ارتباطات
جهادی, چرخه ی_کامل_فضایی
جهادی, چهل_سال_افتخار
چهل_سال_شکست, آینده_روشن
چهل_سال_شکست, ایران_اسلامی
چهل_سال_شکست, چهل_سال_افتخار
روضه, فاطمیه
روضه, هیأت_الزهرا_دانشگاه_شریف
روضه, چهلمین_بهار
شبکه_ملی_اطلاعات, ره بر
شبکه_ملی_اطلاعات, آتش_به_اختیار
شبکه_ملی_اطلاعات, کودک_آنلاین
ره بر, فضای_مجازی
ره بر, ارباب
ره بر, آینده_روشن
حسین_صفا, محسن_چاوشی
حسین_صفا, ابراهیم
 محسن_چاوشی, ابراهیم
حسین_صفا, محسن_چاوشی
حسین_صفا, ابراهیم
حسین_صفا, زیبا_نیست
نظام_پرداخت, زیست بوم_استارت آپی
نظام_پرداخت, بانک_مرکزی
نظام_پرداخت, آینده_روشن
حسین_جنتی, شب_جمعه
حسین_جنتی, ان شاءالله
حسین_جنتی, سعدی
خبرسازی, شفافیت
خبرسازی, صداقت
خبرسازی, محرم
سرافرازی, نگرانی
سرافرازی, امید
سرافرازی, آینده _روشن
ما_می توانیم, همدلی
ما_می توانیم, صداقت
ما_می توانیم, آینده_روشن
پیام_آور_کربلا, زینب_کبری
پیام_آور_کربلا, پرستار
 زینب_کبری, پرستار
علی_زمانیان, شب_جمعه
علی_زمانیان, ارباب
 شب_جمعه, ارباب
مأموریت, سربازان_نظام
مأموریت, مردم
مأموریت, زور_بزنید
غریب_خراسان, رضا
غریب_خراسان, سلطان
غریب_خراسان, امام_رؤوف
یاستین_گوردر, راز_فال_ورق
یاستین_گوردر, توییتر
 راز_فال_ورق, توییتر
وزیر_ارتباطات, شبکه_ملی_اطلاعات
وزیر_ارتباطات, آینده_روشن
 شبکه_ملی_اطلاعات, آینده_روشن
آذر_جهرمی, وزیر_ارتباطات
آذر_جهرمی, شبکه_ملی_اطلاعات
آذر_جهرمی, استقلال
ابوالحسن_فیروزآبادی, شورای_عالی_فضای_مجازی
ابوالحسن_فیروزآبادی, وزارت_ارتباطات
ابوالحسن_فیروزآبادی, مرکز_ماهر
آذر_جهرمی, وزیر_ارتباطات
آذر_جهرمی, شبکه_ملی_اطلاعات
آذر_جهرمی, منافع_سیاسی
بومی, مسیریابی
بومی, حمایت_حاکمیتی
بومی, مسدودسازی_رقبا
شبکه_ملی_اطلاعات, انحصارطلبی
شبکه_ملی_اطلاعات, آینده_روشن
 انحصارطلبی, آینده_روشن
آذر_جهرمی, وزیر_ارتباطات
آذر_جهرمی, حمایت
آذر_جهرمی, پیام رسان های_بومی
شبکه_ملی_اطلاعات, استقلال
شبکه_ملی_اطلاعات, آینده_روشن
 استقلال, آینده_روشن
ره بر, شبکه_ملی_اطلاعات
ره بر, آینده_روشن
 شبکه_ملی_اطلاعات, آینده_روشن
وزارت_ارتباطات, پیشرفت
وزارت_ارتباطات, آرزوی_توفیق
وزارت_ارتباطات, آینده_روشن
اقبال_لاهوری, پیام_مشرق
اقبال_لاهوری, الحمدلله_فی_کل_حال
 پیام_مشرق, الحمدلله_فی_کل_حال
لیمو, توسعه
لیمو, محصول_باکیفیت_ایرانی
 توسعه, محصول_باکیفیت_ایرانی
جوون, رفیق
جوون, ایران_ما
جوون, پیشرفت
شفافیت, مطالبات
شفافیت, مردم
شفافیت, جوانگرایی
محتوای_فاخر, انقلاب_اسلامی
محتوای_فاخر, پابوس_عشق
 انقلاب_اسلامی, پابوس_عشق
ارباب, شب_جمعه
ارباب, شب_زیارتی
ارباب, ناشناس
سعدی, آقا_سعدی
سعدی, شاعر
 آقا_سعدی, شاعر
انتظار, بوسه
انتظار, پیر
انتظار, فاضل_نظری
وزیر_شعار, توییتر
وزیر_شعار, حومه
 توییتر, حومه
امیرالمؤمنین, نهج البلاغه
امیرالمؤمنین, موفقیت
 نهج البلاغه, موفقیت
جنگ_رسانه ای, جنگ
جنگ_رسانه ای, دشمن_شناس
جنگ_رسانه ای, اصول_اخلاقی
سقا, ابوالفضل_زرویی_نصرآباد
سقا, مرحوم
 ابوالفضل_زرویی_نصرآباد, مرحوم
تقوا, پرهیز_در_حال_حرکت
تقوا, ره بر
 پرهیز_در_حال_حرکت, ره بر
محتوای_دستوری, یک_طرفه
محتوای_دستوری, تحول_دیجیتال
 یک_طرفه, تحول_دیجیتال
فالوئر, تولد
فالوئر, فخر_کائنات
فالوئر, پیامبر_اعظم
ایران_اسلامی, جهرمی
ایران_اسلامی, رودرروباوزیر
 جهرمی, رودرروباوزیر
افتخار, جمهوری_اسلامی_قوی تر
افتخار, آذری_جهرمی
 جمهوری_اسلامی_قوی تر, آذری_جهرمی
حافظ, زیارت
حافظ, امام_رئوف
حافظ, الحمد_لله
جبهه ی_انقلاب, جایگزین
جبهه ی_انقلاب, صداوسیما
جبهه ی_انقلاب, نظام
بقره, لیلة_المبیت
بقره, امیرالمؤمنین
بقره, حیدر
ارباب, پروردگار
ارباب, رفیق بازها
ارباب, قدر_هم_را_بدانید
دشمنی, آمریکا
دشمنی, پیش رفت
دشمنی, کشور
نادانی, گم راهی
نادانی, به_افق_اربعین
نادانی, معرفت
فاضل_نظرى, به_افق_اربعين
فاضل_نظرى, حلال_بفرمایید
فاضل_نظرى, ارباب
حمیدرضا_برقعی, ارباب
حمیدرضا_برقعی, دریاب
حمیدرضا_برقعی, اربعين
حمیدرضا_برقعی, ارباب
حمیدرضا_برقعی, دریاب
حمیدرضا_برقعی, اربعين
ویزا, پاسپورت
ویزا, مجوز_خروج
ویزا, پول_سفر
بی تقوایی, توجیه
بی تقوایی, هوایی
بی تقوایی, عمومی
حسین, اربعين
حسین, ارباب
حسین, دریاب
شاعر, روزگار
شاعر, حامد_عسکری
 روزگار, حامد_عسکری
اربعين, ارباب
اربعين, دریاب
اربعين, به_افق_اربعین
بسیجی, علی
بسیجی, ره بر
بسیجی, بسیجی_ام
بسیجی, آقا
بسیجی, برادر
بسیجی, بیت
اربعین, تا_اربعین
اربعین, ارباب
اربعین, دریاب
سید_حسین_حسینی, هیأت_الزهرا_دانشگاه_شریف
سید_حسین_حسینی, میانداران
سید_حسین_حسینی, ارباب
رندی, پیران
رندی, جاهل
رندی, شیخان
کربلا, کاظمین
کربلا, سامرا
کربلا, ارباب
عشق, آلوده
عشق, حافظ
عشق, روز_حافظ
بن بست, مشکل
بن بست, فضل_الهی
بن بست, جوانان
فاضل_نظری, شعر_شب
فاضل_نظری, مستقل_از_درخواست
 شعر_شب, مستقل_از_درخواست
اربعین, اربعین
اربعین, حب_الحسین_یجمعنا
 اربعین, حب_الحسین_یجمعنا
ريتوييت_لطفا, ریتوئیت
ريتوييت_لطفا, ریتوییت
 ریتوئیت, ریتوییت
اللهم_عجل_لوليک_الفرج, ره_بر
اللهم_عجل_لوليک_الفرج, اقبال_لاهوری
 ره_بر, اقبال_لاهوری
امام_زین العابدین, غربت
امام_زین العابدین, ناشناس
 غربت, ناشناس
بی روحیه گی, خودکم بینی
بی روحیه گی, فرصت طلبی
بی روحیه گی, اعتماد_به_نفس
سعدی, سلطان
سعدی, امام_رئوف
سعدی, علی_بن_موسی_الرضا
شام_غریبان, محرم
شام_غریبان, هیأت_الزهراء
شام_غریبان, سربلندیم_اگر_بر_سر_پیمان_ماندیم
آه, عاشوراء
آه, هیأت_الزهرا_دانشگاه_صنعتی_شریف
آه, محرم
ارباب, محرم
ارباب, شب_عاشورا
ارباب, هیأت_الزهرا
محرم, تاسوعا
محرم, سقا
محرم, ابوالفضل_العباس
سلطان, زیارت
سلطان, محرم
سلطان, ارباب
شهید_گمنام, شهید_گمنام_سلام
شهید_گمنام, محرم
شهید_گمنام, ارباب
ناشناس, حی_علی_العزاء
ناشناس, ارباب
 حی_علی_العزاء, ارباب
عصرانه_پیوست, انتقاد_صریح
عصرانه_پیوست, مطالبه_با_مطالعه
 انتقاد_صریح, مطالبه_با_مطالعه
عبدالجبار_کاکایی, غدیر
عبدالجبار_کاکایی, علی
 غدیر, علی
عبدالجبار_کاکایی, غدیر
عبدالجبار_کاکایی, علی
 غدیر, علی
غدير, غدیری_ام
غدير, غدير_خم
 غدیری_ام, غدير_خم
عباس_ابن_علی, یوم_الترویه
عباس_ابن_علی, بر_فراز_کعبه
عباس_ابن_علی, جان م_به_قربان ش
غلامرضا_سازگار, ارباب
غلامرضا_سازگار, محرم_نزدیک_است
 ارباب, محرم_نزدیک_است
امام_رضا, سلطان
امام_رضا, امام_رئوف
 سلطان, امام_رئوف
انسان, شكست
انسان, هزيمت
انسان, بترسیم
حامد_عسکری, کمی_شیطنت
حامد_عسکری, گشت_ارشاد
 کمی_شیطنت, گشت_ارشاد
حدیث_لرز_غلامی, هنوز_امیدوار
حدیث_لرز_غلامی, کمی
 هنوز_امیدوار, کمی
الرضیع, الصغیر
الرضیع, لا_یوم_کیومک_یا_ابا_عبدالله
 الصغیر, لا_یوم_کیومک_یا_ابا_عبدالله
مشاور, مالیات
مشاور, رشوه
 مالیات, رشوه
مالیات, ممیز
مالیات, توافق
مالیات, ضرر
سحر_آخر, حج
سحر_آخر, غفران
سحر_آخر, التماس
سعدی, آقا_سعدی 
سعدی, سحرهای_آخر
 آقا_سعدی , سحرهای_آخر
سجاد_سامانی, سجاد
سجاد_سامانی, توهم
سجاد_سامانی, توقع
مولوی, وقت_سلام
مولوی, یا_کاشف_الکربات
مولوی, یا_عباس
رضا_آقاسی, بیا
رضا_آقاسی, یا_صاحب الزمان
 بیا, یا_صاحب الزمان
کربلا, حسین
کربلا, اللهم ارزقنا
کربلا, بطلب
بیا, یا_صاحب_الامر
بیا, سعدی
بیا, آقا_سعدی
مرتضی_آوینی, شهید
مرتضی_آوینی, وقت_سلام
 شهید, وقت_سلام
وقت_سلام, یا_صاحب_الامر
وقت_سلام, یا_منتقم
 یا_صاحب_الامر, یا_منتقم
سعدی, آقا_سعدی
سعدی, پند
 آقا_سعدی, پند
سعدی, آقا_سعدی
سعدی, سحر_نوشت
 آقا_سعدی, سحر_نوشت
دغدغه, قبل_افطار
دغدغه, قدیمی
 قبل_افطار, قدیمی
مرتضی_آوینی, شهید
مرتضی_آوینی, وقت_سلام
 شهید, وقت_سلام
دل تنگی, مهرداد_بابایی
دل تنگی, وقت_سلام
 مهرداد_بابایی, وقت_سلام
فاضل_نظری, سحر_نوشت
فاضل_نظری, یاد
فاضل_نظری, تلخ
حسین_جنتی, تلخی
حسین_جنتی, خاطرات
حسین_جنتی, غصه
اللهم _الرزقنا, وفا
اللهم _الرزقنا, وقت_سلام
اللهم _الرزقنا, خدیجة_الکبری
ناشناس, یهویی
ناشناس, امام_رئوف
ناشناس, سلطان
نهج, شب_بیداری
نهج, شب_نوشت
 شب_بیداری, شب_نوشت
death, harry_potter
death, نشخوار_تاریخ
death, شب_بیداری
آقا_سعدی, سعدی
آقا_سعدی, یاد_ایام
آقا_سعدی, نشخوار_تاریخ
دعای_افتتاح, یا_حجة الله
دعای_افتتاح, شب_نوشت
 یا_حجة الله, شب_نوشت
رضا_احسان پور, بیا
رضا_احسان پور, وقت_سلام
رضا_احسان پور, دیدار
بماند_بقیه اش, دعای_افتتاح
بماند_بقیه اش, شب_نوشت
 دعای_افتتاح, شب_نوشت
وقت_سلام, عبدالجبار_کاکایی
وقت_سلام, وقت_استجابه
 عبدالجبار_کاکایی, وقت_استجابه
ترس, عشق
ترس, شک
ترس, یقین
القدس_عاصمة_فلسطين_الأبدية, لیلا_الغندور
القدس_عاصمة_فلسطين_الأبدية, قدسنا
القدس_عاصمة_فلسطين_الأبدية, صلی_الله_علیک_یا_اباعبدالله
فاضل_نظرى, سحر
فاضل_نظرى, جدایی
فاضل_نظرى, وصل
فاضل, جرعه ی_سحر
فاضل, سحرناله
 جرعه ی_سحر, سحرناله
دیوان_حافظ, کوه های_سفید
دیوان_حافظ, قرآن
دیوان_حافظ, گلستان_سعدی
stronger_region, unido
stronger_region, unidoiran
 unido, unidoiran
شهروندان, مشارکت_عمومی
شهروندان, آینده_روشن
شهروندان, نظام_پایش_فاوا
پیامک, باخانواده
پیامک, همه باهم
پیامک, کرونا_را_شکست_میدهیم
soleimani, باخانواده
soleimani, قاسم_سلیمانی
soleimani, به_تو_مدیونیم
پایان_وس, حق_الناس
پایان_وس, حسبناالله ونعم الوکیل
 حق_الناس, حسبناالله ونعم الوکیل
مشق_احسان, بوی_ماه_مهر
مشق_احسان, باخانواده
مشق_احسان, اول_مهر
عبدالله, بنده_خوب_خدا
عبدالله, مهدی_شادمانی
 بنده_خوب_خدا, مهدی_شادمانی
همه باهم, روز_جهانی_شبکه_های_اجتماعی
همه باهم, internationalsocialmediaday
 روز_جهانی_شبکه_های_اجتماعی, internationalsocialmediaday
باخانواده, آینده روشن
باخانواده, سی_سوتک
 آینده روشن, سی_سوتک
پیام, روز_جهانی _ارتباطات
پیام, باخانواده
پیام, آینده روشن
معلم, سعدی
معلم, روز_معلم
 سعدی, روز_معلم
سطح_رفاه, توانمندسازی_زنان
سطح_رفاه, اشتغال_بومی
سطح_رفاه, توانایی_بالقوه
کلپورگان, زنان_توانمند
کلپورگان, هفتسین
 زنان_توانمند, هفتسین
زنان, کلپورگان
زنان, خراشاد
زنان, دلبرنظری
زنان, زنان_توانمند
زنان, آینده روشن
 زنان_توانمند, آینده روشن
کارآفرینی, همراه
کارآفرینی, شریک
کارآفرینی, آینده روشن
آینده روشن, همه_آمدیم
آینده روشن, چهل_سالگی
 همه_آمدیم, چهل_سالگی
ماهواره_امید, چهل_سالگی_انقلاب
ماهواره_امید, صدای_روشن_ایرانیان
ماهواره_امید, روز_ملی_فناوری_فضایی
بازیهای_دیجیتال, معمایی
بازیهای_دیجیتال, زنان
بازیهای_دیجیتال, اوقات_فراغت
عدالت_جنسیتی, شعارزدگی
عدالت_جنسیتی, ریزپرخاشگری
عدالت_جنسیتی, آینده روشن
وزارت_ارتباطات, زنان
وزارت_ارتباطات, آینده_روشن
 زنان, آینده_روشن
پژوهشگاه_فضایی, وزارت_ارتباطات
پژوهشگاه_فضایی, آینده_روشن
 وزارت_ارتباطات, آینده_روشن
وزیر_ارتباطات, شبکه_ملی_اطلاعات
وزیر_ارتباطات, فیلترینگ
 شبکه_ملی_اطلاعات, فیلترینگ
مشق_احسان, پست
مشق_احسان, آینده_روشن
 پست, آینده_روشن
شهرهوشمند, کشمون
شهرهوشمند, ایران_هوشمند
شهرهوشمند, آینده_روشن
کارت_سوخت, کارت_سوخت_بانکی
کارت_سوخت, دولت_همراه
 کارت_سوخت_بانکی, دولت_همراه
کارت_سوخت_بانکی, دولت_همراه
کارت_سوخت_بانکی, کارت_بانکی_جایگزین_کارت_سوخت
 دولت_همراه, کارت_بانکی_جایگزین_کارت_سوخت
کارت_سوخت_بانکی, دولت_همراه
کارت_سوخت_بانکی, کارت_بانکی_جایگزین_کارت_سوخت
 دولت_همراه, کارت_بانکی_جایگزین_کارت_سوخت
ایرانسل, دسترسی_همگانی
ایرانسل, بدون_توقف
ایرانسل, کرونا_رو_شکست_میدهیم
دسترسی_همگانی, آپ
دسترسی_همگانی, آموزش_الکترونیک
دسترسی_همگانی, آموزش_تعطیل_نیست
خبر_خوب, سیل
خبر_خوب, گزارش_به_مردم
خبر_خوب, پلدختر
دسترسی_همگانی, خبر_خوب
دسترسی_همگانی, شما_هم_دعوتید
 خبر_خوب, شما_هم_دعوتید
صمت, سیدبار
